BrefID,SortDate,BibLvlCode,StandardTitle,RefStrFull,AbstractEnglish,Refstringauthors,WoScode,FullAut,Affiliation,DOI,ownDOI,spcolNames,GeoTerms,TaxTerms,ThesTerms,OtherTerms,AuthorKeywords,DocType,LitStyles,ThesisDegree
304075,2018,AS,Смена экологических стратегий в фитопланктонном сообществе северо-восточной части Черного моря в течение годового цикла = Change of ecological strategies in the phytoplankton community of the north-eastern part of the Black Sea during the annual cycle,"<b>Lifanchuk, A.V.; Fedorov, A.V.</b> (2018). Смена экологических стратегий в фитопланктонном сообществе северо-восточной части Черного моря в течение годового цикла = Change of ecological strategies in the phytoplankton community of the north-eastern part of the Black Sea during the annual cycle. <i>ЭКОЛОГИЯ ГИДРОСФЕРЫ = Hydrosphere Еcology 1(2)</i>","The main ecological strategies of phytoplankton community structure of the north-eastern part of the Black Sea were revealed. In the spring period, small cell size of diatoms predominate, when the concentrations of elements of mineral nutrition are high, and the light fluxes are far below the maxima (R-strategists). At the end of the spring-early summer the main role is played by coccolithophores, which are tolerant to tolerant to limited content of mineral nutrition elements in the environment (S strategists). In summer prevail large cell species of diatom under high insolation conditions and periodic wind-wave mixing of the upper water layer (C'-strategists).","Lifanchuk, A.V.; Fedorov, A.V.",NULL,"Lifanchuk, Anna, A.V.",NULL,NULL,NULL,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",NULL,Coccolithophora,"Diatoms, ""Phytoplankton""",NULL,coccolithophores; ecological strategies; ecological strategies,Journal article,NULL,NULL
304078,2018,AS,"Living and dead Foraminifera as bioindicators in Saquarema Lagoon System, Brazil","<b>Belart, P.; Clemente, I.; Raposo, D.; Habib, R.; Volino, E.; Villar, A.; Alves Martins, M.V.; Fontana, L.; Lorini, M.L.; Panigai, G.; Frontalini, F.; Figueiredo, M.S.L.; Vasconcelos, S.C.; Laut, L.</b> (2018). Living and dead Foraminifera as bioindicators in Saquarema Lagoon System, Brazil. <i>Latin American Journal of Aquatic Research 46(5)</i>: 1055-1072. <a href=""https://hdl.handle.net/10.3856/vol46-issue5-fulltext-18"" target=""_blank"">https://hdl.handle.net/10.3856/vol46-issue5-fulltext-18</a>","The understanding of the differences between living (L) and dead (D) benthic foraminiferal assemblages and all the factors that might lead their distribution should be a key to characterize the environmental and paleoenvironmental changes accurately. Population dynamics and dissimilarities of biological nature (the differences in turnover rate and seasonal alterations in standing stock) can cause significant divergences between the L and D foraminiferal assemblages. This study compares L and D foraminifera to evaluate the sediment quality of the Brazilian Saquarema Lagoon System (SLS) using biogeochemical proxies and predict how coastal ecosystems are responding to the combined effects of eutrophication and pollution pressure and areas where the paleoenvironmental studies can be performed. The SLS is a transitional environment where total organic carbon, proteins, and dissolved oxygen are the main factors controlling the distribution of foraminiferal assemblage. The high values of biopolymers (carbohydrates, lipids, and proteins) in SLS indicate a very impacted environment with long water residence time. The low values of species richness, Shannon-Weaver diversity, and evenness for both L and D foraminiferal assemblages are a consequence of fluctuating conditions in the SLS. Due to low salinities, agglutinated species and Quinqueloculina seminula can occur in the most confined areas, and <i>Ammonia parkinsoniana, Cribroelphidium excavatum, Cribroelphidium poeyanum</i>, and <i>Elphidium gunteri</i> characterized the area with the highest marine influence. Although in most of the SLS the taphonomic processes modified the original assemblage, in some regions the thanatocoenosis corresponds to the biocenosis. These areas can be considered the most suitable for future paleoenvironmental and paleoclimatic studies.","Belart, P.; Clemente, I.; Raposo, D.; Habib, R.; Volino, E.; Villar, A.; Alves Martins, M.V.; Fontana, L.; Lorini, M.L.; Panigai, G.; Frontalini, F.; Figueiredo, M.S.L.; Vasconcelos, S.C.; Laut, L.",WOS:000450519500018,"Frontalini, Fabrizio, F.",NULL,https://hdl.handle.net/10.3856/vol46-issue5-fulltext-18,NULL,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",NULL,NULL,"Environmental quality, ""Foraminifera"", ""Marine pollution""",NULL,trophic state; Coastal lagoon; neontology,Journal article,NULL,NULL
304189,2018,AS,Managing a sustainable deep-sea ‘blue economy’ requires knowledge of what actually lives there,"<b>Glover, A.G.; Wiklund, H.; Chen, C.; Dahlgren, T.G.</b> (2018). Managing a sustainable deep-sea ‘blue economy’ requires knowledge of what actually lives there. <i>eLIFE 7</i>: e41319. <a href=""https://hdl.handle.net/10.7554/elife.41319"" target=""_blank"">https://hdl.handle.net/10.7554/elife.41319</a>","Ensuring that the wealth of resources contained in our oceans are managed and developed in a sustainable manner is a priority for the emerging 'blue economy'. However, modern ecosystem-based management approaches do not translate well to regions where we know almost nothing about the individual species found in the ecosystem. Here, we propose a new taxon-focused approach to deep-sea conservation that includes regulatory oversight to set targets for the delivery of taxonomic data. For example, a five-year plan to deliver taxonomic and genomic knowledge on a thousand species in regions of the ocean earmarked for industrial activity is an achievable target. High-throughput, integrative taxonomy can, therefore, provide the data that is needed to monitor various ecosystem services (such as the natural history, connectivity, value and function of species) and to help break the regulatory deadlock of high-seas conservation.","Glover, A.G.; Wiklund, H.; Chen, C.; Dahlgren, T.G.",WOS:000451247300001,"Wiklund, Helena, H."," Univ Gothenburg, Dept Zool, SE-40530 Gothenburg, Sweden.",https://hdl.handle.net/10.7554/elife.41319,NULL,"EUROBIS ackn - indirect use, ""European Oceanographic Biogeographic Information System (EurOBIS) acknowledged"", ""LifeWatch Species Information Backbone""",NULL,NULL,NULL,NULL,NULL,Journal article,NULL,NULL
304196,2019,AS,Skating on thin ice: Identifying the need for species-specific data and defined migration ecology of Rajidae spp.,"<b>Siskey, M.R.; Shipley, O.N.; Frisk, M.G.</b> (2019). Skating on thin ice: Identifying the need for species-specific data and defined migration ecology of Rajidae spp. <i>Fish Fish. 20(2)</i>: 286-302. <a href=""https://hdl.handle.net/10.1111/faf.12340"" target=""_blank"">https://hdl.handle.net/10.1111/faf.12340</a>","Skates (class Chondrichthyes; subclass Elasmobranchii; order Rajiformes; family Rajidae) comprise one quarter of extant chondrichthyans, yet have received little attention in the scientific literature likely due to their relatively low economic value and difficulties in species identification. The absence of species‐specific information on catch, life history and migration of skates has often precluded the development of single‐species stock assessments and led to the use of cursory multispecies assessments, which lack the ability to track species‐specific catch and abundance trends. This has resulted in undetected local extirpations, as has been previously reported for common (<i>Dipturus batis</i>, Rajidae), white (<i>Rostroraja alba</i>, Rajidae) and long‐nose (<i>Dipturus oxyrhinchus</i>, Rajidae) skates in the Irish Sea. Here, we (a) use case studies to illustrate how the perception of skate population structure and stock status has historically been masked through multispecies assessment and management practices, (b) review current information on the movement of skates and identify gaps in knowledge, and (c) identify biases associated with the use of various tagging technologies, which have confounded our understanding of movement and migration ecology of skates. Considering that over 40% of extant Rajidae species are listed as “Data Deficient” by the International Union for Conservation of Nature, we illustrate a critical need to broaden the current understanding of skate life history, movement and migration ecology by providing recommendations on the further application of electronic tags and biogeochemical natural tags in movement studies and highlight the benefits that studies using these approaches have for novel management frameworks.","Siskey, M.R.; Shipley, O.N.; Frisk, M.G.",WOS:000459829100007,"Frisk, Michael, M.G.",NULL,https://hdl.handle.net/10.1111/faf.12340,NULL,"EUROBIS ackn - indirect use, ""European Oceanographic Biogeographic Information System (EurOBIS) acknowledged"", ""LifeWatch Species Information Backbone""",NULL,Rajidae,"Conservation, ""Movement"", ""Tagging""",NULL,migration ecology; multispecies assessment; skates,Journal article,NULL,NULL
304203,2019,AS,"Diversification of the genus <i>Apogon</i> (Lacepède, 1801) (Apogonidae: Perciformes) in the tropical eastern Pacific","<b>Piñeros, V.J.; Beltrán-López, R.G.; Baldwin, C.C.; Barraza, E.J.; Espinoza, E.; Martínez, J.E.; Domínguez-Domínguez, O.</b> (2019). Diversification of the genus <i>Apogon</i> (Lacepède, 1801) (Apogonidae: Perciformes) in the tropical eastern Pacific. <i>Mol. Phylogenet. Evol. 132</i>: 232-242. <a href=""https://hdl.handle.net/10.1016/j.ympev.2018.12.010"" target=""_blank"">https://hdl.handle.net/10.1016/j.ympev.2018.12.010</a>","We examined the role of geographic barriers and historical processes on the diversification of Apogon species within the tropical eastern Pacific (TEP). Mitochondrial and nuclear DNA sequences were used in Bayesian and Maximum likelihood analyses to generate a phylogenetic hypothesis for Apogon species. Bayesian inferences were used to date the cladogenetic events. Analyses with BioGeoBEARS were conducted to reconstruct the biogeographic history and ancestral ranges. The phylogenetic results show a monophyletic clade of TEP Apogon species with A. imberbis from the eastern Atlantic as sister species. The two lineages diverged during the Miocene. Within the TEP clade, two subclades diverged at around 11.1 million years ago (<i>Mya</i>): one clusters the coastal continental species (<i>A. pacificus, A. retrosella</i> and <i>A. dovii</i>), and the second clusters the oceanic island species (<i>A. atradorsatus, A. atricaudus and A. guadalupensis</i>). The estimated diversification times of these subclades were 9.8 and 7.1 <i>Mya</i>, respectively. Within each subclade, species divergences occurred during the Pliocene-Pleistocene epochs. The divergent event between the Atlantic <i>A. imberbis</i> and <i>Apogon</i> TEP clade corresponds to the first closure event of the Central American Seaway. The biogeographic history of Apogon within the TEP appears to be the result of vicariant, dispersal and founder events that occurred during the last 11 million years. The vicariant and dispersal events occurred along the mainland and were associated with the origin of the Central American Gap. The founder events could have allowed the invasion of Apogon to TEP island areas and could have been driven by ancient warming oceanic waters, changes in circulation of marine currents, and the presence of seamounts in ancient marine ridges that allowed the settlement of marine biota. These factors may have allowed <i>Apogon</i> lineages to cross the TEP biogeographic barriers at different times, with subsequent genetic isolation.","Piñeros, V.J.; Beltrán-López, R.G.; Baldwin, C.C.; Barraza, E.J.; Espinoza, E.; Martínez, J.E.; Domínguez-Domínguez, O.",WOS:000456566000018,"Piñeros, Victor Julio, V.J.",NULL,https://hdl.handle.net/10.1016/j.ympev.2018.12.010,NULL,"EUROBIS ackn - indirect use, ""European Oceanographic Biogeographic Information System (EurOBIS) acknowledged"", ""LifeWatch Species Information Backbone""",NULL,Pisces,NULL,NULL,Biogeographic provinces; cryptic fishes; diversification processes; historical biogeography; reef fishes; tropical eastern Pacific Ocean,Journal article,NULL,NULL
304275,2018,M,Procesos oceanográficos y sedimentológicos en la plataforma continental sur de la Isla de Santa Catarina inferidos a partir de la distribución de foraminíferos bentónicos recientes,"<b>Gil Pérez, S.</b> (2018). Procesos oceanográficos y sedimentológicos en la plataforma continental sur de la Isla de Santa Catarina inferidos a partir de la distribución de foraminíferos bentónicos recientes. MSc Thesis. Universidad de la República, Facultad de Ciencias : Montevideo.  89 pp.",NULL,"Gil Pérez, S.",NULL,"Gil Pérez, Sara, S.",NULL,NULL,NULL,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",NULL,NULL,NULL,NULL,NULL,Book/Monograph,Dissertation,MSc
304277,2018,AS,"Ascidiacea (Chordata, Tunicata) from Uruguay (SW Atlantic): checklist and zoogeographic considerations","<b>Scarabino, F.; Maggioni, T.; Taverna, A.; Lagger, C.; Schwindt, E.; Orensanz, L.; López, G.; Ortega, L.; Garcia Rodriguez, F.; Tatián, M.</b> (2018). Ascidiacea (Chordata, Tunicata) from Uruguay (SW Atlantic): checklist and zoogeographic considerations. <i>FaRev. Mus. Argentino Cienc. Nat., n.s. 20(2)</i>: 251-270",NULL,"Scarabino, F.; Maggioni, T.; Taverna, A.; Lagger, C.; Schwindt, E.; Orensanz, L.; López, G.; Ortega, L.; Garcia Rodriguez, F.; Tatián, M.",NULL,"Maggioni, Tamara, T.",NULL,NULL,NULL,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",NULL,NULL,NULL,NULL,Diversity;  deep-sea; Argentine Basin; taxonomy; biogeography,Journal article,NULL,NULL
304353,2018,AS,Integrative taxonomy helps separate four species of freshwater shrimps commonly overlooked as <i>Caridina longirostris</i> (Crustacea : Decapoda : Atyidae) on Indo-West Pacific islands,"<b>de Mazancourt, V.; Klotz, W.; Marquet, G.; Keith, P.</b> (2018). Integrative taxonomy helps separate four species of freshwater shrimps commonly overlooked as <i>Caridina longirostris</i> (Crustacea : Decapoda : Atyidae) on Indo-West Pacific islands. <i>Invertebrate Systematics 32(6)</i>: 1422-1447. <a href=""https://hdl.handle.net/10.1071/is18034"" target=""_blank"">https://hdl.handle.net/10.1071/is18034</a>",NULL,"de Mazancourt, V.; Klotz, W.; Marquet, G.; Keith, P.",WOS:000453222700008,"de Mazancourt, Valentin, V.",NULL,https://hdl.handle.net/10.1071/is18034,NULL,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",NULL,NULL,NULL,NULL,NULL,Journal article,NULL,NULL
304354,2018,AS,Basal position of two new complete mitochondrial genomes of parasitic Cymothoida (Crustacea: Isopoda) challenges the monophyly of the suborder and phylogeny of the entire order,"<b>Hua, C.J.; Li, W.X.; Zhang, D.; Zou, H.; Li, M.; Jakovlic, I.; Wu, S.G.; Wang, G.T.</b> (2018). Basal position of two new complete mitochondrial genomes of parasitic Cymothoida (Crustacea: Isopoda) challenges the monophyly of the suborder and phylogeny of the entire order. <i>Parasites & Vectors 11(1)</i>: 628. <a href=""https://hdl.handle.net/10.1186/s13071-018-3162-4"" target=""_blank"">https://hdl.handle.net/10.1186/s13071-018-3162-4</a>",NULL,"Hua, C.J.; Li, W.X.; Zhang, D.; Zou, H.; Li, M.; Jakovlic, I.; Wu, S.G.; Wang, G.T.",WOS:000452637700001,"Hua, Cong, C.J.",NULL,https://hdl.handle.net/10.1186/s13071-018-3162-4,NULL,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",NULL,"Ichthyoxenos japonensis, ""Tachaea chinensis""",NULL,NULL,Mitochondrial genome; RNA secondary structure; Gene rearrangement; Phylogenetic analysis ,Journal article,NULL,NULL
304356,2019,AS,"Benthic foraminiferal assemblages in the severely polluted coastal environment of Drapetsona-Keratsini, Saronikos Gulf (Greece)","<b>Dimiza, M.D.; Ravani, A.; Kapsimalis, V.; Panagiotopoulos, I.P.; Skampa, E.; Triantaphyllou, M.V.</b> (2019). Benthic foraminiferal assemblages in the severely polluted coastal environment of Drapetsona-Keratsini, Saronikos Gulf (Greece). <i>Rev. Micropaleontol. 62(1)</i>: 33-44. <a href=""https://hdl.handle.net/10.1016/j.revmic.2018.09.001"" target=""_blank"">https://hdl.handle.net/10.1016/j.revmic.2018.09.001</a>","Surface sediments were collected from the coastal zone of Drapetsona–Keratsini (Saronikos Gulf, Greece) in December 2012 for determining the local benthic foraminiferal community, identifying their spatial distribution patterns, and evaluating the response of foraminiferal species to geochemical composition through the hierarchical cluster analysis, principal component analysis and Spearman's rho correlation. Foraminifera can be classified into three distinct assemblages associated with the granulometry, elemental geochemistry, particulate organic carbon content and degree of sediment contamination. A relatively low-diversity assemblage, dominated by stress-tolerant taxa with Ammonia tepida Bolivina spathulata and Bulimina elongata being the prevailing species, is characteristic of the silty seabed of the main part of Drapetsona coastal zone and the Keratsini Port central basin, where organic carbon content, aliphatic and polycyclic aromatic hydrocarbons concentrations and trace metal loads are greatly elevated. On the sandy bottom of the investigated area, relatively high frequencies of miliolids prevail. An epiphytic rotaliid-dominated assemblage is recorded in the slightly-polluted sedimentary bottom of the inner and western part of the Keratsini Port.","Dimiza, M.D.; Ravani, A.; Kapsimalis, V.; Panagiotopoulos, I.P.; Skampa, E.; Triantaphyllou, M.V.",WOS:000458054000004,"Dimiza, Margarita, M.D.",NULL,https://hdl.handle.net/10.1016/j.revmic.2018.09.001,NULL,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""",NULL,NULL,NULL,NULL,NULL,Journal article,NULL,NULL
