,DataSystem,Affiliation,Country,Unnamed: 3,Unnamed: 4,Unnamed: 5,stand_affil,similarity_method,stand_country,stand_flemish,stand_GROUP,stand_QH
45,Marine_species,Universidade da Coruña,Spain,,,,University of A Coruña,,Spain,,University,Science
46,Marine_species,Dalhousie University,Canada,,,,Dalhousie University,,Canada,,University,Science
47,Marine_species,Indonesian Institute of Science,Indonesia,,,,Indonesian Institute of Science,,Indonesia,,Research institute,Science
48,Marine_species,Max Planck Institute for Mathematics in the Sciences,Germany,,,,Max-Planck-Institute für Mathematics in the Sciences,,,,,
49,Marine_species,"Molecular, Ecology, Evolution and Phylogenetics research group, University of Sydney",Australia,,,,"University of Sydney - Molecular, Ecology, Evolution and Phylogenetics research group",,,,,
50,Marine_species,Federal Environmental Agency,Germany,,,,Federal Environmental Agency,,Germany,,Governmental body,Policy
51,Marine_species,Aniol S.L.,UK,,,,Aniol S.L.,,UK,,Company,Industry
52,Marine_species,GBIF,Denmark,,,,GBIF Global Biodiversity Information Facility,,Global,,Data infrastructure,Science
53,Marine_species,"LifeWatchGreece (LWG),  Hellenic Centre for Marine Research (HCMR)",Greece,,,,HCMR (Hellenic Centre for Marine Research),x,Greece,,Research institute,Science
54,Marine_species,"POMC Consulting (One World Analytics), Lancaster",UK,,,,"POMC Consulting (One World Analytics), Lancaster",,,,,
55,Marine_species,Diveboard.com,France,,,,Diveboard,,France,,Other,Civil society
56,Marine_species,"Centre for Marine Living Resources & Ecology. Ministry of Earth Sciences, Govt. of India",India,,,,India government - Ministry of Earth Sciences - Centre for Marine Living Resources & Ecology (CMLRE),,India,,Research institute,Science
57,Marine_species,"CORPI, Klaipeda University",Lithuania,,,,Klaipeda University - Coastal Research and Planning Institute (CORPI),,Lithuania,,Research institute,Science
58,Marine_species,OAG - Observatorio Ambiental Granadilla,Spain,,,,Observatorio Ambiental Granadilla (OAG),,,,,
59,Marine_species,CSIRO Marine and Atmospheric Research,Australia,,,,CSIRO - Marine and Atmospheric Research,,,,,
60,Marine_species,Bundesamt für Seeschifffahrt und Hydrographie (BSH),Germany,,,,BSH (Federal Maritime and Hydrographic Agency of Germany),,Germany,,Governmental body,Policy
61,Marine_species,Central Marine Fisheries Research Institute,India,,,,ICAR (International Committee for Animal Recording) - Central Marine Fisheries Research Institute,,India,,Research institute,Science
62,Marine_species,"Department of Marine Ecology, National Environmental Institute, University of Aarhus",Denmark,,,,Aarhus University - Department of Marine Ecology - National Environmental Research Institute,,Denmark,,Research institute,Science
63,Marine_species,GBIF Swiss Node,Switzerland,,,,GBIF Swiss Node,,Switzerland,,Data infrastructure,Science
64,Marine_species,IFREMER - Centre de nantes Département EMH,France,,,,IFREMER Institut Français de Recherche pour l'Exploitation de la Mer - Centre de nantes Département EMH,,,,,
65,Marine_species,"Institute for Polar Ecology, University of Kiel",Germany,,,,University of Kiel - Institute for Polar Ecology,,,,,
66,Marine_species,Instituto Mediterraneo de Estudios Avanzados (IMEDEA),Spain,,,,Mediterranean Institute for Advanced Studies (IMEDEA),,Spain,,Research institute,Science
67,Marine_species,L'Institut de recherche pour le développement (IRD),France,,,,IRD L'Institut de recherche pour le développement,,France,,Research institute,Science
68,Marine_species,"Marine Scotland Science, Marine Laboratory",UK,,,,Marine Scotland - Marine Laboratory,,UK,,Research institute,Science
69,Marine_species,MUMM,Belgium,,,,RBINS Royal Belgian Institute of Natural Sciences (RBINS) - MUMM team (Management Unit of the Mathematical Model of the North Sea),,,,,
70,Marine_species,Musée cantonal de zoologie,Switzerland,,,,Musée cantonal de zoologie Lausanne,,Switzerland,,Museum,Science
71,Marine_species,MyDiveAlbum,South Africa,,,,MyDiveAlbum,,Global,,Creative body,Civil society
72,Marine_species,National Institute for Environmental Research and Protection (ISPRA),Italy,,,,National Institute for Environmental Research and Protection (ISPRA),,Italy,,Research institute,Science
73,Marine_species,"Sorbonne Université/CNRS, Station Biologique de Roscoff",France,,,,Sorbonne Université,x,France,,University,Science
74,Marine_species,University of Messina,Italy,,,,University of Messina,,Italy,,University,Science
75,Marine_species,Plymouth Marine Laboratory,UK,,,,PML (Plymouth Marine Laboratory),,,,,
76,Marine_species,"Centro de Investigaciones Marinas, Universidad de La Habana",Cuba,,,,Universidad de La Habana - Centro de Investigaciones Marinas,,Cuba,,Research institute,Science
77,Marine_species,"Benthos Ecology, Marine Institute, Galway",Ireland,,,,Marine Institute - Benthos Ecology Group,,Ireland,,Research institute,Science
78,Marine_species,Ocean Ecology,UK,,,,Ocean Ecology,,UK,,Consultancy,Industry
79,Marine_species,Smithsonian,United States,,,,Smithsonian Institution,x,USA,,Research institute,Science
80,Marine_species,"Centre for Development Co-operation in Fisheries (CDCF), Institute of Marine Research",Norway,,,,Institute of Marine Research (IMR) - Centre for Development Co-operation in Fisheries (CDCF),,Norway,,Research institute,Science
81,Marine_species,"National Institute of Water and Atmospheric Research (NIWA), Wellington",New Zealand,,,,National Institute of Water and Atmospheric Research (NIWA),,New Zealand,,Research institute,Science
82,Marine_species,MNHN,France,,,,MNHN National Museum of Natural History,,France,,Museum,Science
83,Marine_species,"University of Washington, School of Aquatic and Fishery Sciences",USA,,,,University of Washington - School of Aquatic and Fishery Sciences,x,USA,,University,Science
84,Marine_species,Yale University,USA,,,,Yale University,,USA,,University,Science
85,Marine_species,"Center for Macroecology, Evolution and Climate, Department of Biology, Copenhagen University",Denmark,,,,"University of Copenhagen - Department of Biology - Center for Macroecology, Evolution and Climate",,Denmark,,Research institute,Science
86,Marine_species,HCMR,Greece,,,,HCMR (Hellenic Centre for Marine Research),,Greece,,Research institute,Science
87,Marine_species,Natural History Museum Vienna,Austria,,,,NHM (Natural History Museum),x,UK,,Museum,Science
88,Marine_species,LazyDiving.com,China,,,,LazyDiving,,China,,Creative body,Civil society
89,Marine_species,"National Museum of Natural History, Smithsonian Institution",USA,,,,Smithsonian Institution - Smithsonian National Museum of Natural History,,USA,,Museum,Science
90,Marine_species,Florida Fish and Wildlife Conservation Commission,USA,,,,Florida Fish and Wildlife Conservation Commission,,USA,,Governmental body,Policy
91,Marine_species,Museum and Art Gallery of the Northern Territory,Australia,,,,MAGNT (Museum and Art Gallery of the Northern Territory),,Australia,,Museum,Science
92,Marine_species,"University of Essex, School of Computer Science and Electronic Engineering",UK,,,,University of Essex - School of Computer Science and Electronic Engineering,,UK,,University,Science
93,Marine_species,National Oceanic and Atmospheric Administration (NOAA); Marine Ecosystems Division,USA,,,,NOAA National Oceanic and Atmospheric Administration - Marine Ecosystems Division,,USA,,Governmental body,Policy
94,Marine_species,Japan Agency for Marine-Earth Science and Technology (JAMSTEC),Japan,,,,JAMSTEC (Japan Agency for Marine-Earth Science and Technology),x,Japan,,Governmental body,Policy
95,Marine_species,Ocean Genome Legacy,USA,,,,Ocean Genome Legacy Center (OGL),,USA,,Research institute,Science
96,Marine_species,Zoological Institute of RAS,Russia,,,,Russian Academy of Sciences (RAS) - Institute of Zoology,,Russia,,Research institute,Science
97,Marine_species,Zoological Institute of RAS,Russia,,,,Russian Academy of Sciences (RAS) - Institute of Zoology,,Russia,,Research institute,Science
98,Marine_species,University of Bologna,Italy,,,,University of Colorado,x,USA,,University,Science
99,Marine_species," Marine Biodiversity Center, Natural History Museum, Los Angeles",US,,,,NHM Natural History Museum of Los Angeles County - Marine Biodiversity Center,x,USA,,Research institute,Science
100,Marine_species,VIMAR (Vida Marina),Spain,,,,VIMAR (Vida Marina),,,,,
101,Marine_species,"Florida International University, Biscayne Bay Campus",USA,,,,"Florida International University, Biscayne Bay Campus",,USA,,University,Science
102,Marine_species,University of Alabama at Birmingham,USA,,,,University of Alabama at Birmingham,,USA,,University,Science
103,Marine_species,Mathias Lindner,Germany,,,,personal,,,,,
104,Marine_species,"IFREMER–DYNECO/VIGIES, Nantes",France,,,,IFREMER - DYNECO (Unité Dynamiques des Ecosystèmes Côtiers),,France,,Research institute,Science
105,Marine_species,"Cape Cod Museum of Natural History, Brewster, MA",USA,,,,Cape Cod Museum of Natural History,,USA,,Museum,Science
106,Marine_species,"CREOCEAN Society, Montpellier",France,,,,CREOCEAN,,France,,Consultancy,Industry
107,Marine_species,"Sorbonne Université/CNRS, Laboratoire d'Océanographie de Villefranche",France,,,,UPMC - Laboratoire d'Océanographie de Villefranche (LOV),x,France,,Research institute,Science
108,Marine_species,"Korea Institute of Ocean Science and Technology, Ocean Observation and Information Section",Korea,,,,KIOST (Korea Institute of Ocean Science and Technology) - Ocean Observation and Information Section,,South Korea,,Research institute,Science
109,Marine_species,"Biodiversity Institute of Ontario, University of Guelph",Canada,,,,University of Guelph - Biodiversity Institute of Ontario,,Canada,,Research institute,Science
110,Marine_species,"Environment Department, University of York",UK,,,,University of York - Environment Department,,UK,,University,Science
111,Marine_species,Juan J. González,Spain,,,,personal,x,,,,
112,Marine_species,Bitonga Ltd.,UK,,,,Bitonga Ltd.,,UK,,Company,Industry
113,Marine_species,"University of British Columbia, Fisheries Centre",Canada,,,,University of British Columbia - Fisheries Centre,,Canada,,Research institute,Science
114,Marine_species,University of California San Diego,USA,,,,"University of California, San Diego (UCSD)",,USA,,University,Science
115,Marine_species,"Moss Landing Marine Laboratory, California State University",USA,,,,California State University - Moss Landing Marine Laboratory,,USA,,Research institute,Science
116,Marine_species,,France,,,,,,,,,
117,Marine_species,Réserves Naturelles de France,France,,,,Réserves Naturelles de France,,France,,Other public authorities,Policy
118,Marine_species,Senckenberg Forschungsinstitut und Naturmuseum Frankfurt,Germany,,,,Naturmuseum Senckenberg - Research Institute and Natural History Museum Frankfurt,,Germany,,Research institute,Science
119,Marine_species,Divenation.com,UK,,,,Divenation,,UK,,Other,Civil society
120,Marine_species," US Environmental Protection Agency (US EPA), Coastal Ecology Branch",USA,,,,"US Environmental Protection Agency (US EPA), Coastal Ecology Branch",x,USA,,Governmental body,Policy
121,Marine_species,"USGS Western Fisheries Research Center, Marine Hatfield Science Center",USA,,,,US Geological Survey (USGS) - Western Fisheries Research Center,,USA,,Research institute,Science
122,Marine_species,"Instituto de Tecnología y Ciencias Marinas, Universidad Simón Bolívar",Venezuela,,,,Simón Bolívar University - Institute of Technology and Marine Sciences,,Venezuela,,Research institute,Science
123,Marine_species,Trinity College Dublin,Ireland,,,,Trinity College Dublin,,Ireland,,University,Science
124,Marine_species,Australian Antarctic Division,Australia,,,,Australian Government - Department of the Environment and Energy - Australian Antarctic Division (AAD),,Australia,,Research Institute,Science
125,Marine_species,Hong Kong Baptist University,,,,,Hong Kong Baptist University,,Hong Kong,,University,Science
126,Marine_species,"University of Sheffield, Department of Animal & Plant Sciences",UK,,,,University of Sheffield - Department of Animal & Plant Sciences,,UK,,University,Science
127,Marine_species,NETAXIA Limited,UK,,,,NETAXIA Limited,,UK,,Company,Industry
128,Marine_species,National Museums Northern Ireland,Ireland,,,,National Museums Northern Ireland,,Ireland,,Museum,Science
129,Marine_species,"Department of Paleobiology, National Museum of Natural History, Smithsonian Institution",USA,,,,Smithsonian Institution - Smithsonian National Museum of Natural History - Department of Paleobiology,,USA,,Museum,Science
130,Marine_species," New York State Museum,Albany",USA,,,,New York State Museum,x,USA,,Museum,Science
131,Marine_species,Wikipedia,United States,,,,Wikipedia,,Global,,Data infrastructure,Science
132,Marine_species,Museum of Natural History,USA,,,,Swedish Museum of Natural History,x,Sweden,,Museum,Science
133,Marine_species,"OceanCertain - Norwegian University of Science and Technology (NTNU), Trondheim",Norway,,,,Norwegian University of Science and Technology (NTNU) - OceanCertain,,Norway,,Research institute,Science
134,Marine_species,Seasearch c/o Marine Conservation Society,United Kingdom,,,,Marine Conservation Society,,UK,,Non-profit organization,Civil society
135,Marine_species,"Roger Williams University, Department of Biology and Marine Biology",US,,,,Roger Williams University - Department of Biology and Marine Biology,,USA,,University,Science
136,Marine_species,Marine Ecological Solutions Ltd,UK,,,,Marine Ecological Solutions Ltd,,UK,,Consultancy,Industry
137,Marine_species,Atlantic Reference Centre,Canada,,,,Huntsman Marine Science Centre - Atlantic Reference Centre (ARC),,Canada,,Research institute,Science
138,Marine_species,Arizona State University,,,,,Arizona State University,,USA,,University,Science
139,Marine_species,Marine and Freshwater Institute Iceland,Iceland,,,,Marine and Freshwater Institute Iceland (MFRI),,Iceland,,Research institute,Science
140,Marine_species,3T Software Labs GmbH,Germany,,,,3T Software Labs GmbH,,Germany,,Company,Industry
141,Marine_species,Centre of Marine Sciences,Portugal,,,,University of the Aegean - Department of Marine Sciences,x,Greece,,University,Science
142,Marine_species,CRACS - INESC TEC,Portugal,,,,FCT (Portuguese National Science Foundation) - INESCTEC Research Laboratory - Center for Research in Advanced Computing Systems (CRACS),,Portugal,,Research institute,Science
143,Marine_species,Japan Agency for Marine-Earth Science and Technology,Japan,,,,JAMSTEC (Japan Agency for Marine-Earth Science and Technology),,Japan,,Governmental body,Policy
144,Marine_species,International Council for the Exploration of the Sea (ICES),Denmark,,,,ICES International Council for the Exploration of the Sea,,,,,
145,Marine_species,"Biologica Environmental Services Ltd., Victoria",Canada,,,,Biologica Environmental Services Ltd.,,Canada,,Company,Industry
146,Marine_species,"South African Institute for Aquatic Biodiversity, Grahamstown",South Africa,,,,South African Institute for Aquatic Biodiversity (SAIAB),,South Africa,,Research institute,Science
147,Marine_species,National Oceanic and Atmospheric Administration,USA,,,,NOAA National Oceanic And Atmospheric Administration,,USA,,Governmental body,Policy
148,Marine_species,Museum of Comparative Zoology,United States,,,,Harvard University - Harvard Museum of Comparative Zoology,,USA,,Museum,Science
149,Marine_species,BGI-Qingdao,China,,,,BGI-Qingdao,,China,,Company,Industry
150,Marine_species,North Carolina Museum of Natural Sciences,United States,,,,North Carolina Museum of Natural Sciences,x,USA,,Museum,Science
151,Marine_species,Centre of Marine Sciences,Portugal,,,,University of the Aegean - Department of Marine Sciences,x,Greece,,University,Science
152,Marine_species, Ocean Ecology Limited,United Kingdom,,,,Ocean Ecology Limited,,UK,,Consultancy,Industry
153,Marine_species,University of Tartu Natural History Museum,Estonia,,,,University of Oslo - Natural History Museum,x,Norway,,Museum,Science
154,Marine_species,"Industrial Ecology Programme, Department of Energy and Process Engineering, Norwegian University of Science and Technology (NTNU)",Norway,,,,Norwegian University of Science and Technology (NTNU) - Faculty of Engineering - Department of Energy and Process Engineering - Industrial Ecology Programme,,Norway,,Research institute,Science
155,Marine_species,International Council for the Exploration of the Sea,Denmark,,,,ICES International Council for the Exploration of the Sea,x,,,,
156,Marine_species,"ddms, Inc.",United States,,,,DDMS Inc.,,USA,,Company,Industry
157,Marine_species,Hopkins Marine Station,USA,,,,Stanford University - Hopkins Marine Station,,USA,,Research institute,Science
158,Marine_species,Fisheries Research Station junagadh agricultural university sikka ,India,,,,Junagadh agricultural university - Fisheries Research Station Sikka,,India,,Research institute,Science
159,Marine_species,"Project Manager - DDTS EU Exit Programme| Department for Environment, Food and Rural Affairs",United Kingdom,,,,"UK government - Department for Environment, Food and Rural Affairs - Digital, Data & Technology Services (DDTS) EU Exit Programme",,UK,,Governmental body,Policy
160,Marine_species,Office de l'Environnement de la Corse,France,,,,Office de l'Environnement de la Corse,,France,,Governmental body,Policy
161,Marine_species,ILVO,Belgium,,,,"ILVO Flanders Research Institute for Agriculture, Fisheries and Food",,Belgium,x,Research institute,Science
162,Marine_species,Massey University Auckland,New Zealand,,,,Massey University,,New Zealand,,University,Science
163,Marine_species,The University of Chicago,United States,,,,University of Chicago,x,USA,,University,Science
164,Marine_species,"University of California, Santa Barbara",USA,,,,University of California Santa Barbara,,USA,,University,Science
165,Marine_species,Yale university,,,,,Yale University,x,USA,,University,Science
166,Marine_species,University of Tartu,Estonia,,,,University of Tartu,,Estonia,,University,Science
167,Marine_species,James Cook University,,,,,James Cook University,,Australia,,University,Science
168,Marine_species,University of Oslo,Norway,,,,University of Oslo,,Norway,,University,Science
169,Marine_species,"Swedish Museum of Natural History, Department of Palaeobiology",Sweden,,,,Swedish Museum of Natural History - Department of Palaeobiology,,Sweden,,Museum,Science
170,Marine_species,"Duke University, William Peace University",United States,,,,Duke University,,USA,,University,Science
171,Marine_species,Cyprus University of Technology,Cyprus,,,,Cyprus University of Technology,,Cyprus,,University,Science
172,Marine_species,Aquazoo Löbbecke Museum Düsseldorf,Germany,,,,Aquazoo Löbbecke Museum,x,Germany,,Museum,Science
173,Marine_species,Florida International University,,,,,Florida International University,,USA,,University,Science
174,Marine_species,"iNaturalist, California Academy of Scienes and National Geogrraphic Society",United States,,,,California Academy of Sciences,,USA,,University,Science
175,Marine_species,"Reef Life Apps, LLC",Czech Republic,,,,"Reef Life Apps, LLC",,Czech Republic,,Other,Civil society
176,Marine_species,Stichting observation international,Netherlands,,,,observation international,,Global,,Other,Civil society
177,Marine_species,Arctos,United States,,,,Arctos,,USA,,Company,Industry
178,Marine_species,Natural History Museum of Los Angeles County,USA,,,,NHM Natural History Museum of Los Angeles County,,USA,,Museum,Science
179,Marine_species,Leigh Marine Laboratory,New Zealand,,,,University of Auckland - Leigh Marine Laboratory,,New Zealand,,Research institute,Science
180,Marine_species,"Ensenada Center for Scientific Research and Higher Education, CICESE",Mexico,,,,Center for Scientific Research and Higher Education at Ensenada (CICESE),,Mexico,,Research institute,Science
181,Marine_species,National Marine Fisheries Research Institute,Poland,,,,ICAR (International Committee for Animal Recording) - Central Marine Fisheries Research Institute,x,India,,Research institute,Science
182,Marine_species,Virginia Institute of Marine Science,United States,,,,GEOMAR Helmholtz Centre for Ocean Research Kiel,x,Germany,,Research institute,Science
183,Marine_species,Harbor Branch Oceanographic Institution,USA,,,,Florida Atlantic University - Harbor Branch Oceanographic Institute,,USA,,Research institute,Science
184,Marine_species,California Academy of Sciences,United States,,,,California Academy of Sciences,,USA,,University,Science
185,Marine_species,"The Department of Agriculture, Environment and Rural Affairs",UK,,,,"Northern Ireland Executive - Department of Agriculture, Environment and Rural Affairs (DAERA)",,UK,,Governmental body,Policy
186,Marine_species,Northeastern University,USA,,,,Northwest University of China,x,China,,University,Science
187,Marine_species,Revive & Restore,United States,,,,Revive & Restore,,USA,,Company,Industry
188,Marine_species,Virginia Institute of Marine Science,United States,,,,GEOMAR Helmholtz Centre for Ocean Research Kiel,x,Germany,,Research institute,Science
189,Marine_species,Alive Fundació,Spain,,,,Alive Fund,,Spain,,Non-profit organization,Civil society
190,Marine_species,Stony Brook University,United States,,,,Stony Brook University,,,,,
191,Marine_species,Stony Brook University,USA,,,,Stony Brook University,,,,,
192,Marine_species,Monterey Bay Aquarium Research Institute (MBARI),United States,,,,Monterey Bay Aquarium Research Institute (MBARI),x,USA,,Research institute,Science
193,Marine_species,NUI Galway,Ireland,,,,National University of Ireland Galway,,Ireland,,University,Science
194,Marine_species,University of Hawaii at Hilo,United States,,,,University of Hawaii,x,,,,
195,Marine_species,Insitech Partners LLC,United States,,,,Insitech Partners LLC,,USA,,Company,Industry
196,Marine_species,University of Louisiana at Lafayette,United States,,,,University of Louisiana at Lafayette,,USA,,University,Science
197,Marine_species,University Hamburg; Zentrum für Bioinformatik,Germany,,,,University of Hamburg - Center for Bioinformatics,,Germany,,Research institute,Science
198,Marine_species,Dalhousie University,Canada,,,,Dalhousie University,,Canada,,University,Science
199,Marine_species,"Sorbonne Université/CNRS, Laboratoire d'Océanographie de Villefranche",France,,,,UPMC - Laboratoire d'Océanographie de Villefranche (LOV),x,France,,Research institute,Science
200,Marine_species,Thomson Environmental Consultants,United Kingdom,,,,Thomson Environmental Consultants,,UK,,Consultancy,Industry
201,Marine_species,Monterey Bay Aquarium,USA,,,,Monterey Bay Aquarium,,USA,,Museum,Science
202,Marine_species,MPEDA ,India,,,,India government - Marine Products Export Development Authority (MPEDA),,India,,Governmental body,Policy
203,Marine_species,Museums Victoria,Australia,,,,Museums Victoria,,Australia,,Museum,Science
204,Marine_species,Oceana Europe,Belgium,,,,Oceana Europe,,Europe,,Non-profit organization,Civil society
205,Marine_species,University of New Hampshire,United States,,,,University of New Hampshire,,USA,,University,Science
206,Marine_species,Fugro GB Marine Ltd,United Kingdom,,,,Fugro,,Global,,Consultancy,Industry
207,Marine_species,University of New Hampshire,USA,,,,University of New Hampshire,,USA,,University,Science
208,Marine_species,University of New Hampshire,USA,,,,University of New Hampshire,,USA,,University,Science
209,Marine_species,University of Helsinki,Finland,,,,University of Helsinki,,Finland,,University,Science
210,Marine_species,"Fisheries and Oceans Canada, Pacific Biological Station",Canada,,,,Government of Canada - Fisheries and Oceans Canada - Pacific Biological Station,,,,,
211,Marine_species,Department of Fisheries and Oceans,Canada,,,,Government of Canada - Fisheries and Oceans Canada,,Canada,,Governmental body,Policy
212,Marine_species,"National Institutes of Health, National Center for Biotechnology Information",United States,,,,National Center for Biotechnology Information (NCBI),,USA,,Data infrastructure,Science
213,Marine_species,University of Plymouth,UK,,,,University of Plymouth,,UK,,University,Science
214,Marine_species,National Research Council of Italy,Italy,,,,National Research Council (CNR),x,Italy,,Governmental body,Policy
215,Marine_species,Hawaii Institute of Marine Biology,Hawaii; U.S.A.,,,,University of Hawaii - Institute of Marine Biology,,USA,,Research institute,Science
216,Marine_species,Galway Marine Institute - Foras na Mara,Ireland,,,,Marine Institute,,Ireland,,Research institute,Science
217,Marine_species,Yale University,United States,,,,Yale University,,USA,,University,Science
218,Marine_species,National University of Ireland Galway,Ireland,,,,National University of Ireland Galway,,Ireland,,University,Science
219,Marine_species,"Museu de Ciències Naturals de Barcelona, Department of Palaeontology",Spain,,,,Museum of Natural Sciences of Barcelona - Department of Palaeontology,,Spain,,Museum,Science
